,freq,siec,nrg_bal,unit,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
56,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.183,25.622,28.144,28.851,30.98,32.396,34.149,31.785,34.319,27.097,17.081,24.967
57,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,GE,,,,,,,,,,,,,,,,,,0.647,0.97
58,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,HR,0.693,0.873,0.693,0.817,0.719,0.76,0.67,0.648,0.613,0.808,0.833,1.122,1.323,1.515,1.737,1.258,1.469,1.639,1.592
59,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241,0.216,0.3,0.271,0.28,0.311,0.294,0.305,0.086,0.102
60,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,IT,70.999,73.876,80.819,84.552,91.406,92.263,96.135,107.399,108.199,114.918,127.905,152.851,162.271,166.434,167.854,171.696,154.059,89.168,92.767
63,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,LT,0.519,0.641,0.45,0.197,0.378,0.334,0.415,0.463,0.421,0.482,0.368,0.485,0.592,0.668,0.687,0.671,0.521,0.328,0.362
64,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,LV,0.909,1.106,1.186,0.888,0.66,0.399,0.633,0.685,0.868,0.769,0.772,0.586,0.527,0.51,0.303,0.3,0.197,0.144,0.106
66,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,MD,1.064,1.133,1.174,0.917,0.9,0.759,0.734,0.89,0.989,1.184,1.017,1.131,1.529,2.091,1.868,1.203,1.163,0.12,0.126
67,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,MK,0.055,0.041,0.041,0.056,0.087,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.273
72,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,PL,5.322,5.718,5.772,5.683,5.17,5.117,5.602,5.978,5.644,5.72,6.231,6.626,7.497,5.981,6.225,6.251,5.73,1.337,0.195
73,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.489,0.354,0.286,0.296,0.283,0.264,0.272,0.285,0.254,0.247,0.287
74,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,RO,13.615,15.253,11.953,13.237,14.232,13.317,11.443,8.74,0.496,0.509,0.577,0.581,0.753,0.783,0.699,0.65,1.511,1.784,0.902
75,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.979
77,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,SI,0.252,0.277,0.252,0.172,0.194,0.214,0.232,0.203,0.194,0.214,0.136,0.199,0.175,0.19,0.186,0.188,0.187,0.189,0.203
78,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,SK,1.105,1.064,0.955,1.015,1.075,1.2,1.197,1.316,2.18,0.983,1.493,1.547,1.751,1.683,1.738,1.792,1.744,1.805,2.817
79,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,TR,12.015,12.543,13.55,15.972,15.695,4.172,3.935,4.444,4.376,3.555,4.106,6.682,7.152,8.81,4.995,,,,
