,freq,siec,nrg_bal,unit,geo\TIME_PERIOD,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
108,A,E7100,FC_TRA_RAIL_E_RED,KTOE,ME,0.0,0.314,0.314,0.807,0.713,0.582,0.724,0.521,0.59,0.715,0.662,0.844,0.929,0.866,0.841,0.892,0.554,0.528,0.67
109,A,E7100,FC_TRA_RAIL_E_RED,KTOE,MK,0.232,0.287,0.327,0.367,0.363,0.319,0.319,0.302,0.311,0.341,0.411,0.392,0.347,0.348,0.305,0.377,0.352,0.284,0.246
110,A,E7100,FC_TRA_RAIL_E_RED,KTOE,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,A,E7100,FC_TRA_RAIL_E_RED,KTOE,NL,22.529,21.997,21.942,22.337,23.483,25.359,27.864,30.741,31.938,34.438,35.609,35.61,40.033,39.89,41.928,43.432,41.327,25.716,39.189
112,A,E7100,FC_TRA_RAIL_E_RED,KTOE,NO,49.787,50.629,54.588,53.361,58.641,55.956,48.753,46.432,51.449,51.935,50.645,54.428,54.084,49.613,50.477,50.473,48.403,60.549,64.196
113,A,E7100,FC_TRA_RAIL_E_RED,KTOE,PL,52.891,48.429,42.343,45.886,45.979,43.414,47.302,52.677,52.625,57.256,58.411,64.597,72.945,78.136,83.046,84.144,80.084,39.751,46.392
114,A,E7100,FC_TRA_RAIL_E_RED,KTOE,PT,10.928,11.116,11.964,11.863,12.65,13.408,13.912,12.628,13.513,11.494,12.05,12.666,18.992,21.602,22.254,22.195,18.57,20.757,22.579
115,A,E7100,FC_TRA_RAIL_E_RED,KTOE,RO,25.91,24.101,20.972,22.96,20.48,20.108,21.268,27.813,29.96,28.401,28.747,32.967,35.479,38.224,36.655,36.198,36.035,42.589,37.599
116,A,E7100,FC_TRA_RAIL_E_RED,KTOE,RS,3.799,3.91,4.069,4.904,5.358,10.71,4.98,12.851,11.922,11.313,8.237,8.442,9.163,9.553,9.72,10.022,9.907,9.945,10.325
117,A,E7100,FC_TRA_RAIL_E_RED,KTOE,SE,131.577,124.05,126.999,128.189,105.613,111.545,110.974,132.232,128.749,140.985,134.413,137.754,144.8,139.945,143.516,140.715,128.812,156.705,170.338
118,A,E7100,FC_TRA_RAIL_E_RED,KTOE,SI,4.53,4.706,4.732,4.632,4.564,3.501,4.225,4.557,4.208,3.897,3.564,4.124,4.669,6.334,6.212,6.198,5.581,6.338,7.3
119,A,E7100,FC_TRA_RAIL_E_RED,KTOE,SK,8.556,6.741,7.191,7.248,6.913,6.438,7.389,8.219,8.081,9.834,10.363,11.774,12.601,12.62,12.893,11.739,11.573,8.856,9.937
120,A,E7100,FC_TRA_RAIL_E_RED,KTOE,TR,5.516,5.444,5.396,5.211,4.694,6.926,7.634,9.527,13.018,14.243,17.265,20.716,23.132,28.067,30.596,,,,
121,A,E7100,FC_TRA_RAIL_E_RED,KTOE,UK,55.115,55.129,54.351,55.602,57.002,61.074,64.617,74.434,81.612,86.677,95.989,102.029,112.38,118.531,123.026,136.096,,,
122,A,E7100,FC_TRA_RAIL_E_RED,KTOE,XK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,A,E7100,FC_TRA_ROAD_E_RED,KTOE,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.342,0.0,0.0
124,A,E7100,FC_TRA_ROAD_E_RED,KTOE,AT,0.795,0.719,0.728,0.717,0.773,0.83,0.858,0.891,0.852,0.85,0.831,0.84,0.858,0.883,0.915,0.879,0.863,17.559,18.24
125,A,E7100,FC_TRA_ROAD_E_RED,KTOE,BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
126,A,E7100,FC_TRA_ROAD_E_RED,KTOE,BE,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.012,0.049,0.08,0.162,0.291,0.683,1.157,1.772,2.72,3.705,4.615,10.494
